sloan_file,css_num_ID,label
spec-2112-53534-0521.fits,1132062052528,RRc
spec-3307-54970-0075.fits,1001072050924,EW
spec-2477-54058-0261.fits,1121054053106,RRab
spec-2502-54180-0319.fits,1118059048329,RRc
spec-2474-54564-0169.fits,1126077024700,RRc
spec-3661-55614-0596.fits,1138033064612,RRc
spec-0525-52029-0565.fits,1104071014956,RRc
spec-1854-53566-0595.fits,1121084012019,RRc
spec-3459-55007-0547.fits,1132075041185,RRc
spec-1820-54208-0525.fits,1107083051985,RRc
spec-1884-53228-0297.fits,1140098092930,EW
spec-2645-54477-0277.fits,1121062047763,RRab
spec-1616-53169-0120.fits,1112067021583,RRab
spec-2892-54552-0333.fits,1101065016785,RRc
spec-0930-52618-0393.fits,1129039026039,EW
spec-1823-53886-0031.fits,1104087070037,RRc
spec-0588-52029-0347.fits,1104079037403,RRc
spec-0312-51689-0391.fits,1001082072355,RRc
spec-8190-57448-0718.fits,1157030048435,RRab
spec-3225-54853-0415.fits,1143031060333,EA
spec-0926-52413-0488.fits,1001084043757,RRc
spec-0987-52523-0026.fits,1001115051743,PCEB
spec-1369-53089-0060.fits,1143049042290,RRc
spec-3131-54731-0324.fits,1115123033778,EW
spec-1332-52781-0015.fits,1146059005727,RRc
spec-8410-57481-0956.fits,1152054022159,RRc
spec-2289-53708-0297.fits,1121048001114,RRc
spec-0653-52145-0439.fits,1009002023593,RRab
spec-3122-54821-0304.fits,1009012035804,RRc
spec-2938-54503-0392.fits,1138031097218,RRab
spec-4690-55653-0866.fits,1143043046095,EW
spec-2500-54178-0627.fits,1121059050527,RRc
spec-1945-53387-0105.fits,1132046045246,RRc
spec-8731-57416-0567.fits,1104014025026,EW
spec-1572-53177-0068.fits,1123082018441,EW
spec-3319-54915-0235.fits,1109050021024,EA
spec-2475-53845-0255.fits,1126066045004,RRd
spec-1220-52723-0265.fits,1109059010088,RRc
spec-3105-54825-0492.fits,1009003036612,EW
spec-2486-53876-0084.fits,1123055013501,RRd
spec-2619-54506-0103.fits,1118069048112,EA
spec-2330-53738-0456.fits,1123042065750,EW
spec-3429-54976-0572.fits,1152053062406,EW
spec-2615-54483-0547.fits,1121066003692,RRc
spec-1513-53741-0330.fits,1101017021283,EW
spec-3255-54885-0533.fits,1115066016101,RRc
spec-1906-53293-0260.fits,1001010039266,RRc
spec-2940-54508-0387.fits,1109042066970,EW
spec-2178-54629-0155.fits,1104087027172,RRc
spec-3121-54762-0415.fits,1112021042027,RRab
spec-2305-54414-0276.fits,1007113031522,RRc
spec-2351-53786-0136.fits,1129049007809,RRc
spec-1068-52614-0126.fits,1001016035757,EA
spec-4009-55648-0914.fits,1104083002149,RRab
spec-1053-52468-0617.fits,1143063002185,RRc
spec-8285-57048-0134.fits,1143039015331,RRc
spec-1521-52945-0439.fits,1101115007805,EW
spec-2009-53857-0176.fits,1129062019244,RRc
spec-0644-52173-0575.fits,1007116034876,RRc
spec-0522-52024-0196.fits,1101069040740,RRab
spec-2476-53826-0362.fits,1118068024959,RRd
spec-2474-54333-0574.fits,1126077058604,EW
spec-7618-56898-0482.fits,1118004018753,EA
spec-1297-52963-0218.fits,1107046017151,EW
spec-0581-52356-0467.fits,1104060053026,RRc
spec-1355-52823-0219.fits,1132072054675,RRab
spec-2724-54616-0194.fits,1107081029220,EW
spec-2379-53762-0590.fits,1126013024952,EW
spec-2309-54441-0318.fits,1009117064925,RRc
spec-2336-53712-0386.fits,1140006007781,EW
spec-3285-54948-0263.fits,1112063016152,RRab
spec-2642-54232-0261.fits,1118070027447,RRc
spec-2457-54180-0473.fits,1129060037003,RRc
spec-2023-53851-0019.fits,1135059011328,RRc
spec-7860-57006-0063.fits,1101009037965,RRc
spec-2906-54577-0570.fits,1138062019307,RRc
spec-0301-51641-0455.fits,1101075015154,RRab
spec-3258-54884-0370.fits,1146041005668,RRc
spec-5449-56030-0864.fits,1118073031477,RRab
spec-2305-54414-0325.fits,1007113071304,RRc
spec-3228-54863-0269.fits,1132039037080,RRd
spec-4079-55363-0497.fits,1107112080427,RRc
spec-0943-52376-0567.fits,1146039022857,EW
spec-7392-56992-0946.fits,1146042032886,EW
spec-2506-54179-0241.fits,1118060030974,RRc
spec-1339-52767-0592.fits,1135074013935,EW
spec-2137-54206-0261.fits,1126071035003,RRc
spec-2049-53350-0282.fits,1001019039700,EW
spec-1789-54259-0140.fits,1109068010088,RRd
spec-1995-53415-0498.fits,1140051027883,RRc
spec-3216-54853-0371.fits,1146043040447,RRc
spec-4028-55621-0992.fits,1101078008288,RRc
spec-3150-54806-0580.fits,1140047006847,EW
spec-3239-54888-0572.fits,1149048044785,EW
spec-1409-52824-0373.fits,1126080043009,RRc
spec-2247-54169-0383.fits,1143069016261,EA
spec-7891-57332-0029.fits,1004012031950,RRc
spec-3241-54884-0130.fits,1121013049463,EW
spec-0696-52209-0076.fits,1001008043180,EW
spec-2521-54538-0014.fits,1112085079668,RRc
spec-1383-53116-0082.fits,1135066025765,RRc
spec-1197-52668-0218.fits,1135038005720,RRc
spec-1323-52797-0102.fits,1155045025404,RRab
spec-7902-57362-0680.fits,1004003041392,RRc
spec-7694-57359-0098.fits,1126002037060,EW
spec-4756-55631-0901.fits,1104069009670,RRab
spec-3131-54731-0298.fits,1115123018070,EW
spec-7304-56745-0167.fits,1149033031958,EW
spec-7659-57060-0923.fits,1126011048898,EW
spec-3227-54864-0331.fits,1129037007992,EA
spec-2781-54266-0254.fits,1115080033647,RRc
spec-2436-54054-0373.fits,1115048025171,RRc
spec-1610-53144-0233.fits,1112063016152,RRab
spec-1251-52964-0365.fits,1129021065687,EA
spec-1168-52731-0127.fits,1146060016579,RRc
spec-3308-54919-0438.fits,1107082040997,RRab
spec-0697-52226-0383.fits,1101008014361,RRc
spec-3427-54979-0551.fits,1138073078857,EW
spec-0383-51818-0346.fits,1101125002035,RRab
spec-0536-52024-0419.fits,1104079003270,EW
spec-1689-53177-0482.fits,1121087098549,ACEP
spec-3184-54850-0450.fits,1101017021283,EW
spec-0613-52345-0569.fits,1160043028404,RRc
spec-2910-54630-0535.fits,1132070040849,RRc
spec-7431-57162-0536.fits,1149049008335,EW
spec-3261-54881-0228.fits,1126051034040,RRd
spec-1918-53240-0453.fits,1101113005116,EW
spec-1409-52824-0164.fits,1126081004771,RRc
spec-2854-54465-0073.fits,1107056052736,HADS
spec-2475-53845-0146.fits,1129065004907,RRab
spec-3683-55245-0800.fits,1143032029172,EA
spec-2053-53446-0536.fits,1135034070969,EA
spec-1699-53148-0587.fits,1112072019609,RRc
spec-2220-53795-0421.fits,1129055038341,RRc
spec-2745-54231-0003.fits,1115074013139,RRc
spec-1239-52760-0598.fits,1109056012201,RRc
spec-1583-52941-0584.fits,1121041044185,RRc
spec-5380-55980-0867.fits,1109063052364,RRc
spec-3151-54804-0425.fits,1107051056784,RRc
spec-3428-54979-0530.fits,1146061033825,RRc
spec-1961-53299-0351.fits,1101115007805,EW
spec-2382-54169-0619.fits,1107051057087,EW
spec-3234-54885-0120.fits,1109070027703,RRc
spec-3407-54971-0110.fits,1121075039010,RRc
spec-2150-54510-0468.fits,1123074002360,RRc
spec-2165-53917-0341.fits,1123077044304,RRc
spec-0358-51818-0078.fits,1157053005528,RRab
spec-1983-53442-0095.fits,1132051055754,EW
spec-3242-54889-0569.fits,1104059033335,RRd
spec-1826-53499-0213.fits,1107076003368,EW
spec-5447-55958-0728.fits,1109074017068,RRc
spec-0541-51959-0189.fits,1132035037498,EW
spec-1774-53759-0528.fits,1115070018301,RRc
spec-8297-57416-0228.fits,1140038025359,EW
spec-2212-53789-0443.fits,1126054035397,EW
spec-0587-52026-0070.fits,1104079016613,RRc
spec-2742-54233-0227.fits,1115072040276,EW
spec-3161-54779-0129.fits,1140032020854,RRc
spec-3196-54834-0347.fits,1115049027068,EW
spec-2252-53565-0238.fits,1121115069588,RRd
spec-3478-55008-0147.fits,1135071060641,RRc
spec-2796-54629-0257.fits,1112089005291,EW
spec-3260-54883-0533.fits,1129049016816,EW
spec-0813-52354-0021.fits,1146061033825,RRc
spec-1600-53090-0151.fits,1112056000805,RRc
spec-2089-53498-0230.fits,1132056059643,EA
spec-2057-53816-0103.fits,1001045076732,RRc
spec-0634-52164-0186.fits,1007110100929,RRc
spec-2533-54585-0229.fits,1112087011289,RRc
spec-0306-51690-0604.fits,1101078027519,RRc
spec-0411-51817-0122.fits,1001017030283,RRc
spec-0289-51990-0093.fits,1001067044753,RRab
spec-0915-52443-0617.fits,1001076029592,RRab
spec-3778-55213-0150.fits,1001068012464,RRab
spec-2913-54526-0159.fits,1104048002984,EW
spec-0574-52366-0348.fits,1104055039686,RRab
spec-2690-54211-0448.fits,1015058037167,RRab
spec-1740-53050-0586.fits,1109051061489,RRd
spec-2252-53613-0018.fits,1121116066112,RRc
spec-2805-54380-0334.fits,1107023035447,EA
spec-1130-52669-0038.fits,1001005031832,EW
spec-2041-53387-0441.fits,1132007045919,RRc
spec-3180-54864-0448.fits,1129058048806,EW
spec-3156-54792-0309.fits,1001020035803,EW
spec-2714-54208-0033.fits,1118041029933,EW
